CreditScore,Age,Tenure,Balance,HasCrCard,IsActiveMember,EstimatedSalary,Geography_France,Geography_Germany,Geography_Spain,Gender_Female,Gender_Male,NumOfProducts_1,NumOfProducts_2,NumOfProducts_3,NumOfProducts_4
619,42,2,0.0,True,True,101348.88,True,False,False,True,False,True,False,False,False
608,41,1,83807.86,False,True,112542.58,False,False,True,True,False,True,False,False,False
502,42,8,159660.8,True,False,113931.57,True,False,False,True,False,False,False,True,False
699,39,1,0.0,False,False,93826.63,True,False,False,True,False,False,True,False,False
850,43,2,125510.82,True,True,79084.1,False,False,True,True,False,True,False,False,False
645,44,8,113755.78,True,False,149756.71,False,False,True,False,True,False,True,False,False
822,50,7,0.0,True,True,10062.8,True,False,False,False,True,False,True,False,False
376,29,4,115046.74,True,False,119346.88,False,True,False,True,False,False,False,False,True
501,44,4,142051.07,False,True,74940.5,True,False,False,False,True,False,True,False,False
684,27,2,134603.88,True,True,71725.73,True,False,False,False,True,True,False,False,False
528,31,6,102016.72,False,False,80181.12,True,False,False,False,True,False,True,False,False
497,24,3,0.0,True,False,76390.01,False,False,True,False,True,False,True,False,False
476,34,10,0.0,True,False,26260.98,True,False,False,True,False,False,True,False,False
549,25,5,0.0,False,False,190857.79,True,False,False,True,False,False,True,False,False
635,35,7,0.0,True,True,65951.65,False,False,True,True,False,False,True,False,False
616,45,3,143129.41,False,True,64327.26,False,True,False,False,True,False,True,False,False
653,58,1,132602.88,True,False,5097.67,False,True,False,False,True,True,False,False,False
549,24,9,0.0,True,True,14406.41,False,False,True,True,False,False,True,False,False
587,45,6,0.0,False,False,158684.81,False,False,True,False,True,True,False,False,False
726,24,6,0.0,True,True,54724.03,True,False,False,True,False,False,True,False,False
732,41,8,0.0,True,True,170886.17,True,False,False,False,True,False,True,False,False
636,32,8,0.0,True,False,138555.46,False,False,True,True,False,False,True,False,False
510,38,4,0.0,True,False,118913.53,False,False,True,True,False,True,False,False,False
669,46,3,0.0,False,True,8487.75,True,False,False,False,True,False,True,False,False
846,38,5,0.0,True,True,187616.16,True,False,False,True,False,True,False,False,False
577,25,3,0.0,False,True,124508.29,True,False,False,False,True,False,True,False,False
756,36,2,136815.64,True,True,170041.95,False,True,False,False,True,True,False,False,False
571,44,9,0.0,False,False,38433.35,True,False,False,False,True,False,True,False,False
574,43,3,141349.43,True,True,100187.43,False,True,False,True,False,True,False,False,False
411,29,0,59697.17,True,True,53483.21,True,False,False,False,True,False,True,False,False
591,39,3,0.0,True,False,140469.38,False,False,True,True,False,False,False,True,False
533,36,7,85311.7,False,True,156731.91,True,False,False,False,True,True,False,False,False
553,41,9,110112.54,False,False,81898.81,False,True,False,False,True,False,True,False,False
520,42,6,0.0,True,True,34410.55,False,False,True,True,False,False,True,False,False
722,29,9,0.0,True,True,142033.07,False,False,True,True,False,False,True,False,False
475,45,0,134264.04,True,False,27822.99,True,False,False,True,False,True,False,False,False
490,31,3,145260.23,False,True,114066.77,False,False,True,False,True,True,False,False,False
804,33,7,76548.6,False,True,98453.45,False,False,True,False,True,True,False,False,False
850,36,7,0.0,True,True,40812.9,True,False,False,False,True,True,False,False,False
582,41,6,70349.48,False,True,178074.04,False,True,False,False,True,False,True,False,False
472,40,4,0.0,True,False,70154.22,False,False,True,False,True,True,False,False,False
465,51,8,122522.32,False,False,181297.65,True,False,False,True,False,True,False,False,False
556,61,2,117419.35,True,True,94153.83,True,False,False,True,False,True,False,False,False
834,49,2,131394.56,False,False,194365.76,True,False,False,True,False,True,False,False,False
660,61,5,155931.11,True,True,158338.39,False,False,True,True,False,True,False,False,False
776,32,4,109421.13,True,True,126517.46,False,True,False,True,False,False,True,False,False
829,27,9,112045.67,True,True,119708.21,False,True,False,True,False,True,False,False,False
637,39,9,137843.8,True,True,117622.8,False,True,False,True,False,True,False,False,False
550,38,2,103391.38,False,True,90878.13,False,True,False,False,True,True,False,False,False
776,37,2,103769.22,True,False,194099.12,False,True,False,True,False,False,True,False,False
698,44,10,116363.37,True,False,198059.16,False,True,False,False,True,False,True,False,False
585,36,5,146050.97,False,False,86424.57,False,True,False,False,True,False,True,False,False
788,33,5,0.0,False,False,116978.19,True,False,False,True,False,False,True,False,False
